Stock Name,investor,Action,bulk_deal_date,bulk_deal_value,Quantity,Avg Price,Quantity Held,holding_average_price,profit_loss,Holder Name,holdings_change
SJS Enterprises Ltd.,ashish-kacholia,Sold,2023-11-22,21.783619,347000,627.77,1003891.0,618.2942172008715,9.475782799128524,ASHISH RAMESHCHANDRA KACHOLIA,-1.11
HB Stockholdings Ltd.,ashok-kumar-jain,Sold,2023-11-20,0.34959012,40280,86.79,,,,ASHOK KUMAR JAIN,
ASK Automotive Ltd.,goldman,Bought,2023-11-15,71.951846265,2320653,310.05,,,,GOLDMANSACHS FUNDS GOLDMANSACHS INDIA EQUITY PORTFOLIO,
SJS Enterprises Ltd.,ashish-kacholia,Sold,2023-11-08,10.45152,160000,653.22,1003891.0,618.2942172008715,34.92578279912857,ASHISH KACHOLIA,-1.11
Cello World Ltd.,reliance-group,Bought,2023-11-06,127.0767652,1600060,794.2,,,,RELIANCE COMMERCIAL FINANCE LIMITED,
IKIO Lighting Ltd.,goldman,Sold,2023-11-06,21.987125235,634055,346.77,837640.0,343.8231221049616,2.9468778950383694,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,-0.01
AKM Creations Ltd.,ashok-kumar-jain,Sold,2023-10-27,0.140316,33000,42.52,,,,RONAK ASHOKKUMAR JAIN,
Dynamic Services & Security Ltd.,ashok-kumar-jain,Bought,2023-10-23,0.723384,72000,100.47,,,,ASHOK DILIPKUMAR JAIN,
AKM Creations Ltd.,ashok-kumar-jain,Sold,2023-10-17,0.109263,21000,52.03,,,,SONALASHOKJAIN,
Walchandnagar Industries Ltd.,ajay-upadhyaya,Sold,2023-10-16,4.20625,250000,168.25,1000000.0,191.3,-23.05000000000001,AJAY SHIV NARAYAN UPADHYAYA,0.0
Vishnusurya Projects And Infra Ltd.,reliance-group,Bought,2023-10-10,5.798892,788000,73.59,,,,RELIANCE COMMERCIAL FINANCE LIMITED,
Saakshi Medtech & Panels Ltd.,ashish-kacholia,Bought,2023-10-09,10.4013828,622800,167.01,,,,ASHISH RAMESHCHANDRA KACHOLIA,
Quick Heal Technologies Ltd.,sequoia,Sold,2023-09-28,10.2,425000,240.0,1785975.0,367.08240596872855,-127.08240596872855,SEQUOIA CAPITAL INDIA INVESTMENT HOLDINGS III,-0.01
Delta Corp Ltd.,ashish-kacholia,Sold,2023-09-25,21.6975,1500000,144.65,,,,ASHISH RAMESHCHANDRA KACHOLIA,
Data Patterns (India) Ltd.,vanguard-fund,Bought,2023-09-15,64.8087365,312250,2075.54,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,
Data Patterns (India) Ltd.,vanguard-fund,Bought,2023-09-15,67.47684317000001,325105,2075.54,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Himadri Speciality Chemical Ltd.,vanguard-fund,Bought,2023-09-15,61.09454135399999,2526447,241.82,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,
Himadri Speciality Chemical Ltd.,vanguard-fund,Bought,2023-09-15,64.16940356399999,2653602,241.82,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
MTAR Technologies Ltd.,vanguard-fund,Bought,2023-09-15,51.733217354,198359,2608.06,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,
MTAR Technologies Ltd.,vanguard-fund,Bought,2023-09-15,60.222191848,230908,2608.06,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Nazara Technologies Ltd.,vanguard-fund,Bought,2023-09-15,28.982902271999997,345792,838.16,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,
Nazara Technologies Ltd.,vanguard-fund,Bought,2023-09-15,33.376956072,398217,838.16,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Olectra Greentech Ltd.,vanguard-fund,Bought,2023-09-15,66.314512424,528904,1253.81,,,,THE VANGUARD GROUP INC AC VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Olectra Greentech Ltd.,vanguard-fund,Bought,2023-09-15,65.49063387300001,522333,1253.81,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND,
Ramkrishna Forgings Ltd.,vanguard-fund,Bought,2023-09-15,73.388588148,1060866,691.78,,,,THE VANGUARD GROUP INC AC VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Ramkrishna Forgings Ltd.,vanguard-fund,Bought,2023-09-15,69.29110603,1001635,691.78,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND,
IDFC First Bank Ltd.,reliance-group,Bought,2023-09-11,27.3593187,2895166,94.5,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN,
IDFC First Bank Ltd.,reliance-group,Bought,2023-09-11,5.8997484,624312,94.5,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE,
The Indian Card Clothing Company Ltd.,ashok-kumar-jain,Sold,2023-09-07,1.70419392,62070,274.56,,,,ASHOK JAIN,
Om Infra Ltd.,kedia,Bought,2023-09-04,15.21467704,2465912,61.7,,,,KEDIA SECURITIES PRIVATE LTD,
Atul Auto Ltd.,kedia,Bought,2023-08-25,19.35602,430000,450.14,5802017.0,624.4552540952569,-174.31525409525693,KEDIA SECURITIES PVT LTD,5.98
Universal Autofoundry Ltd.,ashish-kacholia,Bought,2023-08-24,16.714110127,1034353,161.59,,,,ASHISH RAMESHCHANDRA KACHOLIA,
IRIS Business Services Ltd.,ashok-kumar-jain,Bought,2023-08-18,1.2147,100000,121.47,,,,ASHOK KUMAR JAIN,
SJS Enterprises Ltd.,ashish-kacholia,Sold,2023-08-18,11.551476489,180489,640.01,1003891.0,618.2942172008715,21.715782799128533,ASHISH KACHOLIA,-1.11
Macpower CNC Machines Ltd.,massachusetts,Sold,2023-08-17,5.400812186,247846,217.91,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,
JSW Energy Ltd.,reliance-group,Bought,2023-08-16,23.98317126,701878,341.7,,,,Reliance Trust Institutional Retirement Trust Series Twelve,
Dhabriya Polywood Ltd.,ashish-kacholia,Bought,2023-08-14,15.342140019999999,546178,280.9,,,,ASHISH RAMESHCHANDRA KACHOLIA,
CMS Info Systems Ltd.,goldman,Bought,2023-08-10,42.3827612,1190527,356.0,3312378.0,386.7916040983245,-30.791604098324513,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.78
