,COMPANY,investor,ValueCr.,Sep 2023%,Jun 2023%,Mar 2023%,Dec 2022%,Sep 2022%
0,3M India Ltd.,radhakishan-damani,512.13,1.48,1.48,1.48,1.48,-
0,ADF Foods Ltd.,ashish-kacholia,64.12,2.75,2.88,1.04,1.04,1.04
0,ADF Foods Ltd.,sunil-singhania,35.89,1.54,1.54,1.51,1.51,-
0,AGI Greenpac Ltd.,ashish-dhawan,307.04,4.79,4.79,4.79,4.79,4.79
1,AGI Greenpac Ltd.,sunil-singhania,91.12,1.42,1.74,1.86,1.86,1.86
2,AMI Organics Ltd.,ashish-kacholia,84.78,2.11,2.13,2.13,2.13,2.13
45,Aditya Vision Ltd.,ashish-kacholia,74.14,1.99,1.99,1.11,-,-
0,Ador Fontech Ltd.,anil-goel,6.38,1.26,1.29,1.29,1.29,1.29
1,Ador Welding Ltd.,ashish-kacholia,90.51,4.38,4.38,4.38,4.38,4.22
1,Advani Hotels & Resorts (India) Ltd.,radhakishan-damani,20.53,4.18,4.18,4.18,4.18,4.18
51,Aeroflex Industries Ltd.,ashish-kacholia,36.22,1.79,-,-,-,-
14,Affordable Robotic & Automation Ltd.,vijay-kedia,55.87,9.93,-,13.37,-,12.25
33,Agarwal Industrial Corporation Ltd.,ashish-kacholia,55.41,4.00,3.93,3.82,3.82,2.57
0,Agro Tech Foods Ltd.,rakesh-jhunjhunwala,161.88,8.14,8.14,8.22,8.22,8.22
0,Ajanta Soya Ltd.,dolly-khanna,0.0,-,-,1.32,1.48,1.54
0,Allcargo Gati Ltd.,mukul-agrawal,0.0,-,5.38,5.38,5.38,5.69
40,Allcargo Logistics Ltd.,mukul-agrawal,87.73,1.34,1.34,1.34,1.34,1.34
69,Allcargo Terminals Ltd.,mukul-agrawal,16.55,1.26,-,-,-,-
0,Almondz Global Securities Ltd.,dilipkumar-lakhi,10.42,4.36,4.47,4.52,4.52,4.52
1,Amarjothi Spinning Mills Ltd.,anil-goel,8.16,6.77,6.77,6.77,6.77,6.77
1,Anant Raj Ltd.,rakesh-jhunjhunwala,0.0,-,-,-,-,3.09
2,Andhra Paper Ltd.,radhakishan-damani,22.67,1.00,1.26,1.26,1.26,1.26
1,Apollo Pipes Ltd.,mukul-agrawal,102.88,3.81,3.81,3.81,3.81,3.81
3,Aptech Ltd.,radhakishan-damani,44.46,3.03,3.03,3.03,3.03,3.03
2,Aptech Ltd.,rakesh-jhunjhunwala,641.54,43.74,43.72,43.74,43.76,43.78
